Incident_ID,Raw_Log_Timestamp,Target_Server,Vector_Type,Containment_Time_Hrs
INC-00055,2025-08-07 18:36:00 [WARN],SRV-008,Phishing,29
INC-00056,2025-12-01 23:12:00 [WARN],SRV-002,Insider_Threat,46
INC-00057,2025-10-15 14:48:00 [WARN],SRV-007,Zero_Day,82
INC-00058,2025-06-26 05:01:00 [WARN],SRV-003,Ransomware,110
INC-00059,2025-05-07 03:10:00 [WARN],SRV-007,Phishing,8
INC-00060,2025-01-11 02:46:00 [WARN],SRV-007,cross_site_scripting,131
INC-00061,2025-09-13 18:52:00 [WARN],SRV-004,Cross_Site_Scripting,86
INC-00062,2025-10-05 01:20:00 [WARN],SRV-005,Cross_Site_Scripting,48
INC-00063,2025-01-31 01:24:00 [WARN],SRV-005,phishing,46
INC-00064,2025-06-24 15:28:00 [WARN],SRV-002,Zero_Day,75 hrs
INC-00065,2025-12-12 03:07:00 [WARN],SRV-008,Malware_Dropper,98
INC-00066,2025-07-09 22:17:00 [WARN],SRV-008, Brute_Force,141
INC-00067,2025-06-05 03:07:00 [WARN],SRV-001,malware_dropper,106
INC-00068,2025-09-13 01:03:00 [WARN],SRV-006, DDoS ,130
INC-00069,2025-01-30 11:37:00 [WARN],SRV-003, Brute_Force,89
INC-00070,2025-05-01 07:28:00 [WARN],SRV-003,insider_threat,71
INC-00071,2025-09-12 00:03:00 [WARN],SRV-008,Phishing,109
INC-00072,2025-11-17_00:31:00 [ERROR],SRV-007,Phishing,67
INC-00073,2025-01-01 08:21:00 [WARN],SRV-001, DDoS ,89
INC-00074,2025-03-10 09:42:00 [WARN],SRV-008,Ransomware,31
INC-00075,2025-10-25 13:41:00 [WARN],SRV-001,insider_threat,143
INC-00076,2025-07-31 03:46:00 [WARN],SRV-001,Zero_Day,111
INC-00077,2025-09-20 16:56:00 [WARN],SRV-003,Insider_Threat,121
INC-00078,2025-10-06 04:12:00 [WARN],SRV-006,Insider_Threat,10
INC-00079,2025-06-06 06:53:00 [WARN],SRV-001,Ransomware,53
INC-00080,2025-07-16 22:50:00 [WARN],SRV-001, sql_injection ,144
INC-00081,2025-04-02 19:15:00 [WARN],SRV-001, ddos ,57
INC-00082,2025-09-13 18:05:00 [WARN],SRV-001,Insider_Threat,125
INC-00083,2025-09-05 23:01:00 [WARN],SRV-002,Cross_Site_Scripting,131
INC-00084,2025-10-06 23:34:00 [WARN],SRV-008,Malware_Dropper,141
INC-00085,2025-09-06 07:19:00 [WARN],SRV-002,Cross_Site_Scripting,2
INC-00086,2025-06-28 09:05:00 [WARN],SRV-007, DDoS ,98
INC-00087,2025-07-07 14:12:00 [WARN],SRV-006,Insider_Threat,25
INC-00088,2025-06-11 10:57:00 [WARN],SRV-005,Phishing,34
INC-00089,2025-07-20 21:03:00 [WARN],SRV-006, DDoS ,148 hrs
INC-00090,2025-02-21 14:24:00 [WARN],SRV-008,Cross_Site_Scripting,99
INC-00091,2025-06-02_20:37:00 [ERROR],SRV-006,insider_threat,49
INC-00092,2025-01-13 05:18:00 [WARN],SRV-002,Malware_Dropper,67
INC-00093,2025-06-29 21:07:00 [WARN],SRV-001,Phishing,135
INC-00094,2025-10-28 23:22:00 [WARN],SRV-001,malware_dropper,44 hrs
INC-00095,2026-01-01 21:39:00 [WARN],SRV-002,Phishing,25
INC-00096,2025-09-10 11:47:00 [WARN],SRV-006, Brute_Force,24
INC-00097,2025-12-17 09:02:00 [WARN],SRV-006, SQL_Injection ,41
INC-00098,2025-04-26_13:35:00 [ERROR],SRV-004,Ransomware,82
INC-00099,2025-07-16 12:08:00 [WARN],SRV-001,Zero_Day,135
INC-00100,2025-10-13 07:57:00 [WARN],SRV-002, SQL_Injection ,1
INC-00101,2025-01-27 21:30:00 [WARN],SRV-004,Cross_Site_Scripting,134
INC-00102,2025-01-26 16:47:00 [WARN],SRV-001,Insider_Threat,32
INC-00103,2025-05-22 23:32:00 [WARN],SRV-007,Cross_Site_Scripting,69
INC-00104,2025-07-05 09:06:00 [WARN],SRV-008,insider_threat,90
INC-00105,2025-01-08_20:36:00 [ERROR],SRV-001, ddos ,77
INC-00106,2025-04-23 17:59:00 [WARN],SRV-003, brute_force,42
INC-00107,2025-08-08_00:15:00 [ERROR],SRV-003, sql_injection ,136
INC-00108,2025-03-20 16:45:00 [WARN],SRV-004,Phishing,139
INC-00109,2025-06-22 00:05:00 [WARN],SRV-008, Brute_Force,128
INC-00110,2025-01-07 02:36:00 [WARN],SRV-002,Phishing,46
INC-00111,2025-12-11 00:41:00 [WARN],SRV-004,Cross_Site_Scripting,19
INC-00112,2025-09-27 20:43:00 [WARN],SRV-008,Cross_Site_Scripting,53
INC-00113,2025-03-28 12:49:00 [WARN],SRV-002,ransomware,6
INC-00114,2025-07-23 17:48:00 [WARN],SRV-003, sql_injection ,104
INC-00115,2025-06-07 21:36:00 [WARN],SRV-006,cross_site_scripting,54
INC-00116,2025-08-16 17:18:00 [WARN],SRV-003,Malware_Dropper,132
INC-00117,2025-03-07 02:15:00 [WARN],SRV-005,Phishing,62
INC-00118,2025-04-01 12:07:00 [WARN],SRV-005,Zero_Day,137
INC-00119,2025-12-03 04:57:00 [WARN],SRV-001, ddos ,132
INC-00120,2025-04-08 03:15:00 [WARN],SRV-001,Ransomware,131
INC-00121,2025-03-29 06:00:00 [WARN],SRV-001, DDoS ,23
INC-00122,2025-01-23 18:31:00 [WARN],SRV-007, DDoS ,150
INC-00123,2025-05-23 22:55:00 [WARN],SRV-003,Zero_Day,49
INC-00124,2025-03-04_19:47:00 [ERROR],SRV-006,Ransomware,33
INC-00125,2025-06-23 12:23:00 [WARN],SRV-004, DDoS ,127
INC-00126,2025-08-25 03:28:00 [WARN],SRV-006,Phishing,88
INC-00127,2025-05-08 21:47:00 [WARN],SRV-001, DDoS ,121
INC-00128,2025-11-16 21:41:00 [WARN],SRV-004, DDoS ,31
INC-00129,2025-02-13 18:01:00 [WARN],SRV-002,Zero_Day,149
INC-00130,2025-06-13 03:26:00 [WARN],SRV-008,Insider_Threat,74
INC-00131,2025-08-17 13:55:00 [WARN],SRV-003,cross_site_scripting,32
INC-00132,2025-08-28 12:28:00 [WARN],SRV-002,phishing,130
INC-00133,2025-08-05 19:22:00 [WARN],SRV-003,Cross_Site_Scripting,111
INC-00134,2025-11-17 20:17:00 [WARN],SRV-004,Zero_Day,107
INC-00135,2025-01-17 06:02:00 [WARN],SRV-006,Phishing,76
INC-00136,2025-10-01_15:18:00 [ERROR],SRV-007, DDoS ,32
INC-00137,2025-04-02 10:33:00 [WARN],SRV-007, SQL_Injection ,11 hrs
INC-00138,2025-11-24 07:28:00 [WARN],SRV-008,Phishing,118
INC-00139,2025-07-30 07:48:00 [WARN],SRV-006, DDoS ,71
INC-00140,2025-07-28 20:01:00 [WARN],SRV-002,Phishing,112
INC-00141,2025-04-27 13:20:00 [WARN],SRV-001,Cross_Site_Scripting,27
INC-00142,2025-12-26 09:13:00 [WARN],SRV-007, SQL_Injection ,36
INC-00143,2025-03-10 02:01:00 [WARN],SRV-007,Ransomware,8
INC-00144,2025-10-22 22:25:00 [WARN],SRV-004, DDoS ,88
INC-00145,2025-11-06 09:36:00 [WARN],SRV-002,cross_site_scripting,74
INC-00146,2025-01-28 11:55:00 [WARN],SRV-007, sql_injection ,137
INC-00147,2025-01-25_21:07:00 [ERROR],SRV-006,Insider_Threat,70
INC-00148,2025-09-11 07:24:00 [WARN],SRV-006,Ransomware,146
INC-00149,2025-12-30 22:51:00 [WARN],SRV-001,Ransomware,27
INC-00150,2025-05-11 05:26:00 [WARN],SRV-002, Brute_Force,82
INC-00151,2025-05-26 01:41:00 [WARN],SRV-003,Zero_Day,38
INC-00152,2025-06-27 16:35:00 [WARN],SRV-007,Malware_Dropper,75
INC-00153,2025-09-04 20:35:00 [WARN],SRV-007,Cross_Site_Scripting,55
INC-00154,2025-04-06_12:30:00 [ERROR],SRV-007,Insider_Threat,49
INC-00155,2025-07-28 09:21:00 [WARN],SRV-002, DDoS ,50
INC-00156,2025-09-12 15:03:00 [WARN],SRV-007,Ransomware,138
INC-00157,2025-06-29 16:08:00 [WARN],SRV-004,Ransomware,138
INC-00158,2025-08-07 11:14:00 [WARN],SRV-006, sql_injection ,41
INC-00159,2025-02-09 00:57:00 [WARN],SRV-006, ddos ,60
INC-00160,2025-05-03 07:39:00 [WARN],SRV-003,Ransomware,41
INC-00161,2025-12-26 03:11:00 [WARN],SRV-004, sql_injection ,131
INC-00162,2025-02-20 15:24:00 [WARN],SRV-001, DDoS ,103 hrs
INC-00163,2025-05-19_15:25:00 [ERROR],SRV-005,Malware_Dropper,
INC-00164,2025-09-08 08:41:00 [WARN],SRV-005,Malware_Dropper,76
INC-00165,2025-09-16 04:14:00 [WARN],SRV-005, Brute_Force,71
INC-00166,2025-08-09 12:17:00 [WARN],SRV-001,Insider_Threat,30
INC-00167,2025-06-13 04:03:00 [WARN],SRV-004, Brute_Force,68
INC-00168,2025-12-09 11:56:00 [WARN],SRV-006,Zero_Day,73
INC-00169,2025-04-19 18:55:00 [WARN],SRV-004, Brute_Force,36
INC-00170,2025-10-07 07:01:00 [WARN],SRV-005,Malware_Dropper,104
INC-00171,2025-05-01 18:39:00 [WARN],SRV-002, SQL_Injection ,95
INC-00172,2025-04-16_09:13:00 [ERROR],SRV-006,Ransomware,62
INC-00173,2025-12-07 07:40:00 [WARN],SRV-003,ransomware,49
INC-00174,2025-03-30 17:12:00 [WARN],SRV-005, SQL_Injection ,9
INC-00175,2025-01-16 21:06:00 [WARN],SRV-008, ddos ,101 hrs
INC-00176,2025-05-03_09:36:00 [ERROR],SRV-006,Cross_Site_Scripting,142
INC-00177,2025-06-07 01:19:00 [WARN],SRV-001, ddos ,71
INC-00178,2025-09-28_20:31:00 [ERROR],SRV-006,phishing,112
INC-00179,2025-09-13 08:33:00 [WARN],SRV-002,Insider_Threat,24
INC-00180,2025-10-27 21:19:00 [WARN],SRV-005,Cross_Site_Scripting,19
INC-00181,2025-10-19 00:32:00 [WARN],SRV-003, DDoS ,69
INC-00182,2025-05-18 16:25:00 [WARN],SRV-001,Malware_Dropper,97
INC-00183,2025-05-18 15:48:00 [WARN],SRV-006, SQL_Injection ,83
INC-00184,2025-10-08 11:06:00 [WARN],SRV-005,Malware_Dropper,42
INC-00185,2025-10-22 13:25:00 [WARN],SRV-005,phishing,46
INC-00186,2025-07-18 19:48:00 [WARN],SRV-003, SQL_Injection ,58
INC-00187,2025-05-05 12:05:00 [WARN],SRV-004,Phishing,80
INC-00188,2025-07-25 17:08:00 [WARN],SRV-007,cross_site_scripting,36 hrs
INC-00189,2025-11-21 06:16:00 [WARN],SRV-007,Ransomware,87
INC-00190,2026-01-01 06:27:00 [WARN],SRV-004, DDoS ,122
INC-00191,2025-04-01 16:58:00 [WARN],SRV-006,Zero_Day,130
INC-00192,2025-02-05 06:13:00 [WARN],SRV-004,zero_day,72
INC-00193,2025-06-16 06:23:00 [WARN],SRV-006,Cross_Site_Scripting,44
INC-00194,2025-08-12 07:48:00 [WARN],SRV-004, Brute_Force,58
INC-00195,2025-06-28 19:50:00 [WARN],SRV-001, DDoS ,72
INC-00196,2025-12-03 15:19:00 [WARN],SRV-003,phishing,27
INC-00197,2025-12-22 23:27:00 [WARN],SRV-001,Phishing,79
INC-00198,2025-08-17 23:44:00 [WARN],SRV-008,Ransomware,22
INC-00199,2025-08-15 22:09:00 [WARN],SRV-007,Zero_Day,128
INC-00200,2025-03-22 14:04:00 [WARN],SRV-007,Phishing,88
INC-00201,2025-07-06 05:25:00 [WARN],SRV-001,Insider_Threat,138
INC-00202,2025-09-20 19:27:00 [WARN],SRV-006,Cross_Site_Scripting,134
INC-00203,2025-05-01 06:52:00 [WARN],SRV-007,Ransomware,45
INC-00204,2025-02-28 15:28:00 [WARN],SRV-003, DDoS ,93
INC-00205,2025-05-26 15:45:00 [WARN],SRV-005, Brute_Force,93
INC-00206,2025-04-19_13:56:00 [ERROR],SRV-001,Zero_Day,99
INC-00207,2025-01-22 07:13:00 [WARN],SRV-001,malware_dropper,147
INC-00208,2025-06-26 11:17:00 [WARN],SRV-005,Phishing,37
INC-00209,2025-07-19 08:59:00 [WARN],SRV-001, Brute_Force,5
INC-00210,2025-01-22 19:04:00 [WARN],SRV-003,ransomware,40
INC-00211,2025-09-16 00:43:00 [WARN],SRV-004,cross_site_scripting,16
INC-00212,2025-04-28 12:01:00 [WARN],SRV-001,Phishing,68
INC-00213,2025-08-19 01:11:00 [WARN],SRV-007,Phishing,124
INC-00214,2025-07-14 05:20:00 [WARN],SRV-003, DDoS ,
INC-00215,2025-05-25 05:00:00 [WARN],SRV-006,Phishing,117
INC-00216,2025-03-09 16:59:00 [WARN],SRV-001,phishing,91
INC-00217,2025-01-18 10:42:00 [WARN],SRV-001, brute_force,9
INC-00218,2026-01-01 17:20:00 [WARN],SRV-008,zero_day,135
INC-00219,2025-02-05 01:18:00 [WARN],SRV-007,Ransomware,141
INC-00220,2025-11-02 20:18:00 [WARN],SRV-005,Insider_Threat,52
INC-00221,2025-07-11 16:54:00 [WARN],SRV-002,zero_day,33
INC-00222,2025-03-02 07:11:00 [WARN],SRV-001,Malware_Dropper,101
INC-00223,2025-07-31 14:21:00 [WARN],SRV-004,Cross_Site_Scripting,58
INC-00224,2025-01-16 07:29:00 [WARN],SRV-001,Insider_Threat,69
INC-00225,2025-07-21 03:27:00 [WARN],SRV-001,Malware_Dropper,119
INC-00226,2025-11-26 07:19:00 [WARN],SRV-002,Insider_Threat,45
INC-00227,2025-10-30 08:55:00 [WARN],SRV-007, brute_force,3
INC-00228,2025-12-31 16:25:00 [WARN],SRV-008,Cross_Site_Scripting,10
INC-00229,2025-05-12 11:11:00 [WARN],SRV-002, Brute_Force,70
INC-00230,2025-09-09 13:50:00 [WARN],SRV-002,Cross_Site_Scripting,5
INC-00231,2025-10-22_02:18:00 [ERROR],SRV-004,Ransomware,8
INC-00232,2025-05-03 23:37:00 [WARN],SRV-003, DDoS ,18
INC-00233,2025-11-02_11:38:00 [ERROR],SRV-006,insider_threat,14
INC-00234,2025-07-13 03:18:00 [WARN],SRV-008,Cross_Site_Scripting,142
INC-00235,2025-12-28 18:51:00 [WARN],SRV-007,Phishing,127
INC-00236,2025-01-05 13:47:00 [WARN],SRV-001, Brute_Force,150
INC-00237,2025-12-21 21:49:00 [WARN],SRV-001, sql_injection ,10
INC-00238,2025-07-02 15:19:00 [WARN],SRV-003, SQL_Injection ,56
INC-00239,2025-07-18 13:28:00 [WARN],SRV-007,Insider_Threat,145
INC-00240,2025-04-07 22:11:00 [WARN],SRV-001,Zero_Day,23
INC-00241,2025-10-15 13:14:00 [WARN],SRV-006,zero_day,139
INC-00242,2025-03-25 07:17:00 [WARN],SRV-006, SQL_Injection ,126
INC-00243,2025-07-11 05:26:00 [WARN],SRV-005,Cross_Site_Scripting,
INC-00244,2025-04-03_18:46:00 [ERROR],SRV-001, ddos ,103
INC-00245,2025-05-18 11:48:00 [WARN],SRV-003, sql_injection ,85
INC-00246,2025-09-03 14:18:00 [WARN],SRV-003,Zero_Day,7
INC-00247,2025-08-22 16:31:00 [WARN],SRV-004,Zero_Day,41
INC-00248,2025-04-25 07:35:00 [WARN],SRV-001,malware_dropper,3
INC-00249,2025-01-24 17:29:00 [WARN],SRV-008,Malware_Dropper,31
INC-00250,2025-03-30 20:47:00 [WARN],SRV-004,Cross_Site_Scripting,88
INC-00251,2025-08-04 15:07:00 [WARN],SRV-002, sql_injection ,
INC-00252,2025-07-21 19:05:00 [WARN],SRV-004,Malware_Dropper,2
INC-00253,2025-11-06 19:34:00 [WARN],SRV-003,Cross_Site_Scripting,88
INC-00254,2025-04-12 18:02:00 [WARN],SRV-004,phishing,136
INC-00255,2025-11-07_11:59:00 [ERROR],SRV-002,Malware_Dropper,13
INC-00256,2025-09-21 15:34:00 [WARN],SRV-002,Insider_Threat,137
INC-00257,2025-06-12 11:14:00 [WARN],SRV-005, ddos ,84
INC-00258,2025-09-17 14:02:00 [WARN],SRV-004, DDoS ,81
INC-00259,2025-11-20 21:59:00 [WARN],SRV-002,Malware_Dropper,116
INC-00260,2025-08-13 06:53:00 [WARN],SRV-004,zero_day,88
INC-00261,2025-10-17 03:28:00 [WARN],SRV-003,Insider_Threat,119
INC-00262,2025-10-26 06:59:00 [WARN],SRV-003, Brute_Force,75
INC-00263,2025-07-03 20:59:00 [WARN],SRV-004,Ransomware,1
INC-00264,2025-05-16_19:16:00 [ERROR],SRV-004, SQL_Injection ,103
INC-00265,2025-06-26 01:16:00 [WARN],SRV-004, DDoS ,61
INC-00266,2025-08-11 00:53:00 [WARN],SRV-002,Phishing,128 hrs
INC-00267,2025-10-13 09:48:00 [WARN],SRV-008,Ransomware,144
INC-00268,2025-09-17 06:30:00 [WARN],SRV-003,Zero_Day,39
INC-00269,2025-06-04_09:54:00 [ERROR],SRV-007, ddos ,74
INC-00270,2025-03-19 17:53:00 [WARN],SRV-001, sql_injection ,117
INC-00271,2025-05-14 15:20:00 [WARN],SRV-001,Ransomware,135
INC-00272,2025-05-19_14:34:00 [ERROR],SRV-003, DDoS ,127
INC-00273,2025-12-03 08:11:00 [WARN],SRV-007,Ransomware,145
INC-00274,2025-07-30 12:56:00 [WARN],SRV-007,Ransomware,46
INC-00275,2025-11-29 20:08:00 [WARN],SRV-003,Cross_Site_Scripting,61 hrs
INC-00276,2025-08-03 23:06:00 [WARN],SRV-002, SQL_Injection ,38
INC-00277,2025-03-14 20:25:00 [WARN],SRV-006,Ransomware,133
INC-00278,2025-02-28 06:26:00 [WARN],SRV-006, DDoS ,40
INC-00279,2025-11-19_10:50:00 [ERROR],SRV-007,zero_day,21
INC-00280,2025-07-10 04:53:00 [WARN],SRV-001,Zero_Day,38
INC-00281,2025-12-04 11:58:00 [WARN],SRV-004,Cross_Site_Scripting,8
INC-00282,2025-08-30 22:14:00 [WARN],SRV-005,Malware_Dropper,105
INC-00283,2025-02-28 12:21:00 [WARN],SRV-008, SQL_Injection ,99
INC-00284,2025-02-19 07:41:00 [WARN],SRV-004, ddos ,145 hrs
INC-00285,2025-09-03 00:02:00 [WARN],SRV-006, DDoS ,43
INC-00286,2025-03-09 10:15:00 [WARN],SRV-004, SQL_Injection ,97
INC-00287,2025-01-11 22:23:00 [WARN],SRV-005,Malware_Dropper,31
INC-00288,2025-04-24_05:28:00 [ERROR],SRV-003,Insider_Threat,50
INC-00289,2025-06-26 19:01:00 [WARN],SRV-001,Insider_Threat,98
INC-00290,2025-05-13 20:46:00 [WARN],SRV-006, SQL_Injection ,51
INC-00291,2025-04-27 18:11:00 [WARN],SRV-003,Ransomware,35
INC-00292,2025-08-21 09:15:00 [WARN],SRV-001,phishing,25
INC-00293,2025-09-07 18:55:00 [WARN],SRV-007, SQL_Injection ,107
INC-00294,2025-06-20 21:59:00 [WARN],SRV-007,Malware_Dropper,4
INC-00295,2025-03-06 00:56:00 [WARN],SRV-005,Malware_Dropper,122
INC-00296,2025-07-19 13:05:00 [WARN],SRV-008, DDoS ,18 hrs
INC-00297,2025-12-23 19:51:00 [WARN],SRV-001, SQL_Injection ,103
INC-00298,2025-05-30 17:53:00 [WARN],SRV-008,Phishing,82
INC-00299,2025-05-24 16:05:00 [WARN],SRV-008, SQL_Injection ,61
INC-00300,2025-10-04 15:43:00 [WARN],SRV-007,Cross_Site_Scripting,33
INC-00301,2025-11-10 13:19:00 [WARN],SRV-002,cross_site_scripting,112
INC-00302,2025-04-14 17:04:00 [WARN],SRV-008,Insider_Threat,41
INC-00303,2025-01-04 23:26:00 [WARN],SRV-005,Ransomware,11
INC-00304,2025-05-14 02:49:00 [WARN],SRV-004,phishing,69
INC-00305,2025-07-02 23:23:00 [WARN],SRV-005,malware_dropper,143
INC-00306,2025-08-12 23:14:00 [WARN],SRV-001, Brute_Force,84
INC-00307,2025-04-25_12:33:00 [ERROR],SRV-003,Phishing,47
INC-00308,2025-03-03_21:34:00 [ERROR],SRV-001, sql_injection ,41 hrs
INC-00309,2025-08-19 15:08:00 [WARN],SRV-004,Insider_Threat,113
INC-00310,2025-02-16 17:18:00 [WARN],SRV-005,Ransomware,61
INC-00311,2025-01-25_12:44:00 [ERROR],SRV-008,Zero_Day,83
INC-00312,2025-12-10 04:55:00 [WARN],SRV-005, Brute_Force,60
INC-00313,2025-06-15 21:22:00 [WARN],SRV-006, Brute_Force,18
INC-00314,2025-08-20 20:46:00 [WARN],SRV-008,Ransomware,107
INC-00315,2025-04-28 23:00:00 [WARN],SRV-002,Zero_Day,47
INC-00316,2025-05-23 15:27:00 [WARN],SRV-006,Zero_Day,26
INC-00317,2025-06-23 07:32:00 [WARN],SRV-004,phishing,40
INC-00318,2025-04-11 08:26:00 [WARN],SRV-003,Cross_Site_Scripting,143
INC-00319,2025-06-26 09:47:00 [WARN],SRV-006,ransomware,76
INC-00320,2025-01-25 11:11:00 [WARN],SRV-003, ddos ,115
INC-00321,2025-01-30_13:17:00 [ERROR],SRV-003,Cross_Site_Scripting,32
INC-00322,2025-01-11 15:29:00 [WARN],SRV-003,Phishing,119
INC-00323,2025-07-08 08:52:00 [WARN],SRV-006,Insider_Threat,56
INC-00324,2025-05-23 08:17:00 [WARN],SRV-007, sql_injection ,25
INC-00325,2025-01-03 03:20:00 [WARN],SRV-006,malware_dropper,40
INC-00326,2025-01-22_23:39:00 [ERROR],SRV-003,Ransomware,30
INC-00327,2025-04-10 14:30:00 [WARN],SRV-007,ransomware,108 hrs
INC-00328,2025-10-25 21:09:00 [WARN],SRV-003, DDoS ,37
INC-00329,2025-03-27 05:48:00 [WARN],SRV-004,Cross_Site_Scripting,85
INC-00330,2025-08-08 14:11:00 [WARN],SRV-001,Malware_Dropper,80
INC-00331,2025-07-11 18:58:00 [WARN],SRV-003, Brute_Force,71
INC-00332,2025-08-11_17:42:00 [ERROR],SRV-006, DDoS ,31
INC-00333,2025-09-04 20:58:00 [WARN],SRV-004,Malware_Dropper,1
INC-00334,2025-03-31 08:47:00 [WARN],SRV-002,Cross_Site_Scripting,11
INC-00335,2025-05-05 01:15:00 [WARN],SRV-001,insider_threat,117
INC-00336,2025-04-27 04:19:00 [WARN],SRV-008, SQL_Injection ,8
INC-00337,2025-07-02 11:46:00 [WARN],SRV-008, DDoS ,97
INC-00338,2025-08-28 13:33:00 [WARN],SRV-001,Cross_Site_Scripting,147
INC-00339,2025-03-08 20:52:00 [WARN],SRV-008, brute_force,110
INC-00340,2025-05-15 07:22:00 [WARN],SRV-004, Brute_Force,98
INC-00341,2025-04-28 20:23:00 [WARN],SRV-008,Cross_Site_Scripting,73
INC-00342,2025-10-20 10:29:00 [WARN],SRV-003,Insider_Threat,23
INC-00343,2025-08-20 16:19:00 [WARN],SRV-003,phishing,
INC-00344,2025-08-14 16:11:00 [WARN],SRV-006,insider_threat,58
INC-00345,2025-12-16 13:38:00 [WARN],SRV-006, DDoS ,139
INC-00346,2025-04-21 23:50:00 [WARN],SRV-002, Brute_Force,36
INC-00347,2025-07-03 18:55:00 [WARN],SRV-003,Insider_Threat,36
INC-00348,2025-07-16 06:29:00 [WARN],SRV-008, SQL_Injection ,14
INC-00349,2025-09-12 15:17:00 [WARN],SRV-007,Ransomware,39 hrs
INC-00350,2025-03-06 01:50:00 [WARN],SRV-002,Zero_Day,97
INC-00351,2025-10-29 08:19:00 [WARN],SRV-005,Zero_Day,72
